id,puzzle,solution,clues,difficulty,solve_time,computed_solution
2634497,.963.8..................895....7....7.3..1..484.59.....8....317..........5761....,596348172278159463431762895915473628763281954842596731684925317129837546357614289,24,1.4,1.498061,
1556342,...12....36...54.8.5......7....749..9.....58..2...8.6...1...8..8.46......9.4.....,748123659362795418159846237683574921917362584425918763571239846834657192296481375,25,1.6,1.447550,
697896,..8.5..1...46.7..3.6....8.....8..5.4..6.94.....3...2..4...7..6......8...9.2..6.85,378459612124687953569321847291863574756294138843715296485972361617538429932146785,26,1.5,1.434533,
1402615,.....76...89..4...5.18..........21....8.7..9.41.....3.1....9...9..3..46...52.....,234957618689124753571863942796532184358471296412698537163749825927385461845216379,24,1.5,1.496363,
208075,.1.8..4...7.29.1......5..3.7.9.............5...254...91..9.....4.......78.....36.,213876495574293186968154732759362814641789253382541679126937548435618927897425361,23,1.1,1.602425,
2842158,.6.8....3....7..5..95.3......8.........764.3.7.6...5..2.3....7.8..1..3.4.1.....8.,167845293382679451495231768938512647521764839746983512253498176879156324614327985,25,1.4,1.421973,
1059142,.1....42..9......3..2..4918...3852.....9.....8.....1...76..........42..73.....56.,715839426498261753632574918169385274243917685857426139976153842581642397324798561,25,2.9,1.513097,
1423532,.1....3..8..7..9....3..9.4...6.97.......8.5.25......1..65.....13......6..8..2..3.,619845327842713956753269148126597483934681572578432619265374891397158264481926735,24,1.2,1.704731,
2739715,.....2...6...4.8....198......8...97..4.7...16.7.2......63.794....5..1798........3,784652139692143857351987642238416975549738216176295384863579421425361798917824563,27,2.8,1.497419,
663341,..76.4..9..2.1.4..1...7..56.5.9....2.29.8....6.8.........8...7.....41.6.......1.4,837654219562319487194278356351967842729485631648123795416892573273541968985736124,26,1.5,1.472856,
941278,9..1...75.3..9....1...4......5.3..2.......7.8..2...9..4..9.3.1.....5......9..72.6,964128375238795641157346892675839124391264758842571963426983517713652489589417236,24,2.8,1.544435,
1715897,..5.......41.....887.46......4..3.29..3..75.....82.7.....23.......6....2....84.6.,635798241941352678872461395764513829283947516159826734496235187318679452527184963,25,1.7,1.603320,
1775800,6.......2.8.6....9..2.1.......1...83..43...9...5.48..1.2.....6.4..583....51......,647935812183624759592817346276159483814376295935248671328791564469583127751462938,25,1.9,1.671094,
1866935,8.2....1..3..5..29...3.......96....2.2.813.4..18...5..........69...4.......72....,872469315436157829591382674349675182625813947718294563284931756967548231153726498,24,1.3,1.530162,
2690958,.......84..9.4...5...1..79...79..4.86.8.1.....4...5..71.35...2....2.....5.6..3...,231759684789642315465138792317926458658417239942385167173594826894261573526873941,26,2.1,1.562290,
940019,.7.85..64.......2......1....47......95......33...6......4..269..8...54....1.8..75,172853964893746521465921837247398156956214783318567249534172698789635412621489375,25,2.6,1.554886,
584704,....36..19.5....6.1..7...3...6.19..7..9.........3..2.58.....5.......4.2.4..95....,278436951935182764164795832326519487589247316741368295897621543653874129412953678,24,1.9,1.605640,
990946,....65.......4..89.2...8...382...6...7.5...4...4.7...25..6.3...1.7..............1,813965724765241389429738156382194675671582943954376812548613297137429568296857431,23,1.1,1.561906,
2986765,4..8........2.5.73......28........3.6.91......8...4.12.4...9...2...5.4.1.93.18...,432897165861245973957631284714562839629183547385974612146729358278356491593418726,26,1.3,1.440296,
735364,3.75....19....1....8.6....2..27.....1.......8..4..2..561....7.......5.1...3....6.,327589641956421837481673952532748196179356428864192375615234789748965213293817564,23,2.0,1.483287,
215532,3..1....7.....95...26...........1..82....3469..7..5.1..4...72...35.8....7...3....,394152687178369524526748193963421758251873469487695312849517236635284971712936845,25,1.3,1.445427,
