id,puzzle,solution,clues,difficulty,solve_time,computed_solution
2224000,....971.....384.2...9......63...5...5.84...3...2..1.....5.....4.1...9.........586,463297158157384629289156347631875492598462731742931865375628914816549273924713586,24,1.3,1.487120,
2152208,2.34...8...9..8...4.8....7.1546..3......3..9..9...4..5.....6.3..4..1...8....2...1,273491586519768243468352179154689327827135694396274815781546932642913758935827461,26,2.1,1.450189,
582721,8....5..1..5..9...2.1...9.3...8..7...2.9...64.......1..........17..4..9..6..715.2,896435271735129486241786953319864725527913864684257319452698137173542698968371542,25,2.0,1.527730,
285592,8..4..6.......2.4.9......52.8.6.1....6....41.79....5......39...2...6..3..1.7..8..,825493671136572948947816352384651297562987413791324586478239165259168734613745829,25,2.8,1.483889,
991376,1.7...........4.8.8..2...9..35.67........8.7...6.......5...6..2.9......6...38...1,147839265529614387863275194935167428412958673786423519351796842298541736674382951,22,2.0,1.588051,
1977681,4....3.....391.......27....9..3.....7.....4....5..9.31.6...178.........2....5.319,492563178573918264186274953914386527738125496625749831269431785351897642847652319,24,2.4,1.491239,
2346223,6...9......7.....3...12.6..9.....3.......4.59.4..73..1..97...84.6.4.1...........5,685397412217648593493125678978512346321864759546973821159736284862451937734289165,24,2.2,1.533159,
1837637,6...3.......9..8.21.8.7.5....65.8.3.4.........1.39....3......8...5..7..62.......4,652831479734965812198274563926548731483716925517392648361459287845127396279683154,24,2.3,1.620507,
2989959,27...4...95.....3.......5.4...813...........38..9...57...5...26.2..3814..6...9...,278354691954186732316297584547813269692745813831962457483571926729638145165429378,26,2.6,1.527840,
1690381,...1..9.........2.8..4....3.9.74....7.28.3.....4.5.2....19...8.4.....5...29...73.,243168957916375824857429613195742368762893145384651279571936482438217596629584731,25,1.9,1.507153,
2224700,6......4.1.79.3...........23.....8....1.85.6.9...12...2.....7.....5..9...6.79....,639258147127943685845167392352679814471385269986412573294836751718524936563791428,23,1.2,1.528638,
838827,.4.3.....6...1......9...27..379..8.5....2.......8....1....62.4..1..8.........45..,542379186673218459189456273237941865891625734465837921958162347714583692326794518,22,1.5,1.642222,
1095557,.1.49..2.......5.3.8....1..8..17......6....3.7...2..9..9...4...1.........2.7..4..,613495827972861543485237169839176254256948731741523698597614382164382975328759416,22,2.6,1.703225,
1062270,.7......4.2...39.735..1.2......8....9...5.6..167.....2..2.4.7......3.......8...9.,671928354428563917359417268235786149984251673167394582892645731746139825513872496,24,1.6,1.549433,
262998,.15..9.....8.1...73....2...6....5...8...6...1...8...4...1.5...3.39..7.5.......9.6,215739864948516237376482519694175382853264791127893645761958423439627158582341976,24,1.2,1.674729,
777725,5..1......9...83.........94..569......372....62.......2...3.16....9....3..9..425.,536149728794258316812376594475691832983725641621483975248537169157962483369814257,25,1.3,1.544158,
936845,..84....9...1..63.9....7...........679.3....88.179..4..73.............9.2...15...,318462759457189632962537814534821976796354128821796543173948265685273491249615387,24,2.8,1.624611,
1906778,5.......3...247....8....2...4.569..7......8...3.48....8....2.4.96.........3....65,572816493396247518184935276248569137619723854735481629857692341961354782423178965,24,2.8,1.487918,
1525763,....5.1.7.6.......8.74.........9.4.....8..3..2......61..42..6.9..6....7..9.7.1.2.,942658137561327948837419256673192485415876392289534761754283619126945873398761524,24,1.3,1.510486,
2236270,..65......89....26.....251..3.6...52.9.1.....8....3.....2...8.....24..7.6...87...,126539487589471326743862519431698752297154638865723941372915864958246173614387295,25,2.0,1.412920,
888946,..6........52..96....7.6.5.1.........8...43..52..9348.89..2.6.............1.4.2..,216459873375281964948736152134872596689514327527693481893127645452368719761945238,25,1.1,1.586515,
