id,puzzle,solution,clues,difficulty,solve_time,computed_solution
132697,84..7..5..3..1...6.....6.9..7..5.3.2.....4......2.1....8.......3.4..26...17.....4,846973251932415786751826493479658312123794568568231947685347129394182675217569834,24,1.3,1.526898,
1069373,72......3......58......9.4.8.3..2.5.....8...1.9...7....6....49..14.....7...64.1..,729854613341726589685139742873412956456983271192567834268371495514298367937645128,24,3.0,1.462093,
339666,.....4..79.3.8.....6..3....1.......8....2.7...9..6.4..2....9..4.753...9..1...7.6.,581694327923785146764132985142973658658421739397568412236819574875346291419257863,24,1.4,1.542582,
519979,.2..5.47...7.6.13....9.......2.9...5.16.......4...57..4..17...67...8.....8.......,628351479957864132134927658372496815516738924849215763495172386763589241281643597,24,1.2,1.485738,
645157,....46...5.17...6.74..39.2....974.....9....3.......8..3.....7.1....8.65..85....9.,928146375531728964746539128853974216419862537672351849364295781197483652285617493,26,2.9,1.556991,
1490515,.3..2.4....7.....6.95...2...6.8.4..74..2..5....9..5..2.5....6..8...91.....4.7....,638927451247153986195648273562814397471239568389765142753482619826591734914376825,25,1.5,1.468142,
1538392,.6.18...9...9..1.8..1.2...7629............6.3..5..7.21..6......45...2....8.....4.,567184239234976158891523467629831574718245693345697821976458312453712986182369745,25,1.4,1.592318,
2163827,..3.......2......698....34....546........28.........73...97..8.7...2..3.6..8..9..,173469528524381796986257341837546219419732865265198473351974682798625134642813957,23,1.7,1.699013,
1586520,6.7.2...1.8.......5...31.........9.....6..7.51....4..3..8..3...3..84...6.7......9,637528491481967532592431867726315948843692715159784623968273154315849276274156389,23,2.3,1.638676,
2503763,.4.....2..6......3..162...4.2.....9.9.....3....5..3.8.452.3....1...9.8....6.51...,749315628268479153531628974324187596987562341615943287452836719173294865896751432,25,2.8,1.497163,
2864214,.....96..5.6.3..17......8.....32...6..........2167..5.2..9.....34.....9..7...4..2,812749635596832417734156829987325146653491278421678953265913784348267591179584362,24,1.7,1.618933,
2342,....189.....29......1.56.3..45.......6.....8.98..2...68.....3..5.......43...64.15,632418957758293641491756238245687193167349582983125476814572369576931824329864715,26,2.4,1.459114,
2368630,......7.5.9...2...8..56..2......6.8..4..8......1.2..544....72.67...4..1..1..5..9.,132894765695372841874561923527436189946185372381729654458917236769243518213658497,26,1.6,1.704111,
1176442,43....18...8....5.....9.....7....3.....61...5........2....586.....7...9.124......,439275186268143957715896234672584319983612745541937862397458621856721493124369578,21,1.9,1.546257,
2956465,..1.6..7527.3..6....9...1..73..2.......7.....1..5.6.......8..36.68...91........8.,341869275275341698689257143736128459852794361194536827417982536568473912923615784,25,1.7,1.597272,
106436,...1....4.....7.9..7143.8.....59.2...4...2.75.3..........281..34..7.....61.......,396128754824657391571439826167594238948312675235876149759281463483765912612943587,25,1.2,1.508902,
1206122,..8.....71.....9..36....2..6.3.4....9.......5...7.3...8..96..3.....71..9..9.3.15.,498326517152487963367159248673245891924618375581793624815964732236571489749832156,25,2.2,1.595351,
2833077,....4..3...2...9...6.3..7..9...2.3..7....5....8...1.....9..4.....1..7.2.8..6..57.,197842635352176948468359712916428357743965281285731496579284163631597824824613579,23,2.5,1.566485,
1834613,..2..3..9...92....5.....4.......8...9...17.5...6...87....27..8.4.8....3.2.5..4...,862543719743921568591786423127358946984617352356492871639275184478169235215834697,24,2.4,1.470494,
215011,.84.52..9..5....646..4.1.....8..361....9....3......2......1.....4.5..8.6......97.,184652739235789164679431582598243617712968453463175298927816345341597826856324971,25,2.0,1.430845,
2439388,.8......3.5.2.......731...88.9..4.7..167..5........4...9.48....2....1.......7...6,184697253953248167627315948839154672416723589572869431791486325268531794345972816,24,1.2,1.476615,
